VEICULOS;PLACA;RENAVAM;OBSERVAÇÕES;DATA;DONO;SITUAÇÃO;VALOR DE COMPRA R$
VW FOX 1.0 GII 2010/2011 PRETO;HKI0J99;233829598;COMPRADO NA VIA BRASIL 04/10/2022;10/04/2022;126837;RENAVE;R$ 22.000,00
VW GOL 1.6 TL 2017/2018 PRATA;QNR9F29;1141384938;COMPRADO NA VM COMERCIO DE VEICULOS 05/10/2022;10/05/2022;108281;FINALIZADO;R$ 39.500,00
FIAT PUNTO ESSENCE 1.6 2011/2011 PRETO;OCX8E55;350852537;COMPRADO PARTICULAR 05/10/2022;10/05/2022;;FINALIZADO;R$ 25.000,00
FIAT PALIO WAY 2014/2015 BRANCO;PUY5I67;1024141001;COMPRADO NA ORVEL DIA 04/10/2022;10/04/2022;;RENAVE;R$ 23.800,00
TOYOTA ETIOS HB X 1.3 2013/2014 VERMELHO;OVL5D57;594370337;COMPRADO NA KURUMA SERRA 29/09/2022;29/09/2022;92874;RENAVE;R$ 31.000,00
FIAT PALIO ELX FLEX 2010/2011 PRATA;MTX3E81;277458196;COMPRADO PARTICULAR NA TROCA DO PRISMA PPU7J24;;;FINALIZADO;R$ 24.000,00
VW SPACECROSS GII 2013/2013 PRATA;MPJ7E97;540256102;COMPRADO NA NISSAN KOBE VILA VELHA;;130773;RENAVE;R$ 30.000,00
FORD FIESTA FLEX 1.0 2012/2013 PRETO;KPE8E15;505440881;COMPRADO NA PODIUM CAMPOS;;114588;FINALIZADO;R$ 22.700,00
HONDA PCX 150 2019/2019 PRATA;QRI8C85;1197624390;COMPRADO PARTICULAR NA TROCA DO IDEA LQK6698;;;FINALIZADO;R$ 15.000,00
GM CORSA HATCH MAXX 2005/2005 AZUL;MQI6F81;852356498;COMPRADO PARTICULAR NA TROCA DO CORSA HATCH MTX9364;;;FINALIZADO;R$ 15.000,00
GM COBALT 1.4 LTZ 2014/2015 BRANCO;OYK7A22;1245043592;COMPRADO NA PRIME CACHOEIRO 17/10/2022;17/10/2022;;RENAVE;R$ 32.500,00
FORD FIESTA 1.6 FLEX 2010/2011 PRATA;LLG9D70;251771954;COMPRADO PARTICULAR NA TROCA DO LOGAN MRS4B94;;47747;FINALIZADO;R$ 25.700,00
FIAT PALIO ESSENCE 1.6 2014/2014 BRANCO;OYF6C12;996624864;COMPRADO NA TAI MOTORS VITORIA;;83279;RENAVE;R$ 28.400,00
FIAT SIENA EL FLEX 2009/2010 PRETO;MSX0B31;165695382;COMPRADO PARTICULAR MAYCON;;113520;FINALIZADO;R$ 19.000,00
HONDA BIZ 125 EX 2014/2015 BRANCA;OYI3F99;1017991305;COMPRADO NA TROCA DO FOX ODI3G25;;54425;RENAVE;R$ 12.500,00
FIAT PALIO FIRE 2P 2004/2005 AZUL;MQD9042;837914426;COMPRADO NA TROCA DO FOX ODI3G25;;;FINALIZADO;R$ 9.000,00
FIAT STRADA WORKING CE 2014/2014 BRANCA;LMA4277;1001142508;COMPRADO NA PODIUM CAMPOS DIA 25/10/2022;25/10/2022;122563;FINALIZADO;R$ 38.250,00
FORD FIESTA 1.6 FLEX 2010/2011 VERMELHO;MTU8D73;259245020;COMPRADO NA PRIME SERRA DIA 18/10/2022;18/10/2022;;RENAVE;R$ 23.500,00
FIAT IDEA ELX 2010/2010 PRETO;MTC9C35;199468907;COMPRADO NA KOBE VITORIA DIA 17/10/2022;17/10/2022;;RENAVE;R$ 21.190,00
FIAT SIENA ESSENCE 1.6 2013/2013 BRANCO;KWA5E36;542471132;COMPRADO NA PODIUM COMPOS DIA 21/10/2022;21/10/2022;97867;RENAVE;R$ 30.150,00
CITROEN C3 TENDANCE 2014/2014 PRATA;OYH4J89;1006371696;COMPRADO NA PRIME SERRA DIA 27/10/2022;27/10/2022;81967;RENAVE;R$ 27.000,00
FORD ECOSPORT 2011/2012 PRATA;ODE9726;430299648;COMPRADO PARTICULAR NA TROCA DA STRADA ODT9C01;;102049;RENAVE;R$ 36.900,00
HYUNDAI HB20 SEDAN 1.6 CONF 2014/2015 BRANCO;PPD9A47;1033384728;COMPRADO NA KURUMA VITORIA DIA 28/10/2022;28/10/2022;120867;RENAVE;R$ 43.500,00
FORD KA FLEX 2009/2010 PRETO;MTB6J32;196470536;COMPRADO PARTIULAR NA TROCA DA PCX QRI8C85;;105454;RENAVE;R$ 15.500,00
VW GOL 1.0 2011/2011 CINZA;OCW1E83;322672090;COMPRADO PARTICULAR DE COSME CEL 27 - 999279347;;144549;RENAVE;R$ 22.000,00
VW FOX BLUEMOTION 1.0 GII 2013/2014 BRANCO;OYE1I91;708848761;COMPRADO NA PODIUM VITORIA 04/11/2022;11/04/2022;;RENAVE;R$ 27.200,00
VW FOX 1.0 2009/2010 PRETO;ODP;150693583;COMPRADO NA TROCA DO SIENAMSX0B31;;194113;RENAVE;R$ 24.000,00
HYUNDAI HB20 1.6 AT 2013/2014 PRATA;KQK5746;579580504;COMPRADO PARTICULAR NO TROCA DO FORD KA QOK6J81;;142419;RENAVE;R$ 44.000,00
FIAT STRADA ADV 2006/2007 PRATA;DUR4F86;898569184;COMPRADO NA VITORIAWAGEM GUARAPARI;;188039;RENAVE;R$ 20.300,00
VW GOL 1.0 2004/2005 PRETO;MQF1136;841198128;COMPRADO PRARTICULAR NA TROCA DO GRAND SIENA KWA5436;;;RENAVE;R$ 8.900,00
FIAT PALIO ATRACTIVE 1.4 2013/2014 PRATA;OVH1483;552489522;COMPRADO PARTICULAR 11/11/2022;11/11/2022;93055;FINALIZADO;R$ 28.000,00
GM ASTRA 5P CD 2002/2003 VERMELHO;MTC3A00;796756287;COMPRADO PARTICULAR 11/11/2022;11/11/2022;224773;RENAVE;R$ 15.000,00
VW FOX 1.6 GII 2012/2013 VERMELHO;ODK7C59;473393581;COMPRADO PARTICULAR NA TROCA DO ECOSPORT ODE9726;;99488;RENAVE;R$ 34.000,00
VW GOL 1.0 2009/2010 COR PRATA;LKY6482;158390229;COMPRADO NA PRIME VEICULOS DE GUARAPARI 11/11/2022;11/11/2022;87822;RENAVE;R$ 20.000,00
GM CORSA HATCH MAXX 1.4 2012/2012 PRATA;ODF4796;454215800;COMPRADO NA KURUMA VEICULOS CACHOEIRO 14/11/2022;14/11/2022;;RENAVE;R$ 26.000,00
GM COBALT 1.4 LT 2012/2013 PRATA;ODO8I62;493687386;COMPRADO NA ORVEL SERRA 16/11/2022;16/11/2022;240529;RENAVE;R$ 26.000,00
GM CLASSIC LS 2015/2015 PRATA;PPH4F00;1052759782;COMPRADO NA TROCA DO VW FOX ORD7C59;;83732;RENAVE;R$ 28.000,00
VW VOYAGE 1.6 TL 2014/2015 PRETO;OYK6642;1225021593;COMPRADO NA VITORIAWAGEM DE GUARAPARI 21/11/2022;21/11/2022;141095;RENAVE;R$ 35.500,00
GM ONIX 1.4 LT 2014/2014 BRANCO;KXV9E86;1010677761;COMPRADO NA PODIUM CAMPOS DIA 23/11/2022;23/11/2022;101690;RENAVE;R$ 35.150,00
FORD ECOSPORT XLT 2.0 2010/2011 PRATA;MTE4168;202244890;COMPRADO NA PASSION SERRA DIA 2911/2022;;139067;RENAVE;R$ 28.500,00
VW FOX 1.0 2008/2008 PRATA BASICO;MRV6174;952227231;XOMPRADO PARTICULAR NA TROCA DO COBALT ODO8I62;;171429;RENAVE;R$ 14.400,00
HONDA CIVIC LXS MANUAL 2009/2009 PRETO;MSO4B55;124313434;COMPRADO NA ORVEL SERRA 16/11/2022;16/11/2022;173751;RENAVE;R$ 31.300,00
HYUNDAI HB20S 1. AT CONFORT 2014/2015 BRANCO;LRO9D05;1023500245;COMPRADO PARTICULAR NA TROCA DO PALIO OVH1483;;112254;RENAVE;R$ 48.000,00
GM AGILE LTZ 2012/2013 PRETO;ODS8C95;529003996;COMPRADO NA JEEP SERRA (VM COMERCIO) 25/11/2022;25/11/2022;163215;RENAVE;R$ 27.500,00
FIAT PUNTO ELX 1.4 2008/2008 PRATA;LPC3E37;950342955;COMPRADO PARTICULAR NA TROCA DO HB20 S PPD9A47;;321852;RENAVE;R$ 20.000,00
GM CELTA 4P LIFE 2005/2005 BRANCO;MQH9E55;850073839;COMPRADO PARTICULAR NA TROCA DO AGILE ODS8C95;;;FINALIZADO;R$ 9.000,00
SUZUKI DR650RE 1995/1995 AZUL;MOX7D31;647969149;COMPRADO PARTICULAR (MOTO DE ROMILDO);;;RENAVE;R$ 5.500,00
GM CELTA 1.0 LT 2012/2013 PRATA;ODM0B87;484010611;COMPRADO NA KURUMA VITORIA 05/12/2022;12/05/2022;151934;RENAVE;R$ 24.000,00
PEUGEOT 207 PASSION ACTIVE 2014/2015 BRANCO;OYJ9C05;1095046842;COMPRADO NA TAI MOTORS VITORIA 02/12/2022;12/02/2022;80250;RENAVE;R$ 21.700,00
YAMAHA YBR 125 FACTOR 2018/2018 VERMELHO;PPY6251;1156483422;COMPRADO PARTICULAR NA TROCA DO COBALT OYK7A22;;;RENAVE;R$ 9.500,00
FORD FIESTA 1.6 FLEX 2012/2013 BRANCO;NZY9E07;472093657;COMPRADO PARTICULAR NA TROCA DO COBALT OYK7A22;;176419;RENAVE;R$ 26.000,00
VW GOL 1.0 2007/2008 VERMELHO;MRQ0982;938009460;COMPRADO PARTICULAR NA TROCA DO ECOSPORT MTE4B68;;;FINALIZADO;R$ 12.000,00
FIAT SIENA EL 1.0 2011/2011 PRATA;MTW6747;329279831;COMPRADO PARTICULAR (DAVI - 27 996945615);;180166;FINALIZADO;R$ 20.000,00
FORD FIESTA 1.6 2012/2013 VERMELHO;ODP1G33;496616080;COMPRADO PARTICULAR (HIOGO - 27 996677906);;150707;RENAVE;R$ 23.400,00
VW FOX 1.6 GII 2011/2011 CINZA;MTT0B65;284151955;COMPRADO NA PRIME GUARAPARI 07/12/2022;12/07/2022;207227;RENAVE;R$ 27.000,00
GM ONIX 1.0 LS 2016/2016 BRANCO;PPK0F18;1092945412;COMPRADO NA KURUMA VILA VELHA EM 15/12/2022;15/12/2022;188859;RENAVE;R$ 32.000,00
VW FUSCA 1500 1974/1975 AZUL;MRW5I93;27714174;COMPRADO PARTICULAR;;;RENAVE;R$ 6.500,00
HONDA CIVIC EXS ANO 2006/2007 PRATA;MQX4A06;895575256;COMPRADO NA TAI MOTORS VITORIA;;247110;RENAVE;R$ 28.200,00
HYUNDAI TUCSON GLS AT 2010/2011 PRATA;MTR7605;254450407;COMPRADO NA KURUMA VITORIA 21/12/2022;21/12/2022;120851;RENAVE;R$ 31.000,00
FIAT UNO 1.4 SPORTING 2011/212;ODC2G80;379910039;COMPRADO NA ORVEL SERRA 05/12/2022;12/05/2022;146098;RENAVE;R$ 26.000,00
FIAT STRADA TREKKING CD 2013/2013 VERMELHA;OQL7E30;556612809;COMPRADO NA KURUMA LINHARES 20/12/2022;20/12/2022;108998;RENAVE;R$ 39.500,00
FIAT SIENA EL FLEX 2010/2010 VERMELHO;MTB6I28;194643344;COMPRADO PARTICULAR NA TROCA DO HB20S AT LRO9D05;;;FINALIZADO;R$ 20.000,00
RENAULT SANDERO EXP 2011/2012 PRETO;OCW4627;333907809;COMPRADO PARTICULAR NOA TROCA DO SIENA MTB6I28;;;TRANSFERÊNCIA DIRETA ENTRE CLIENTES;R$ 22.900,00
FIAT PALIO FIRE ECONOMY 2011/2012 PRATA;ODA9D45;409765384;COMPRADO NA TROCA DO CLASSIC PPH4F00;;136406;FINALIZADO;R$ 20.000,00
VW CROSSFOX GII 2013/2014 VERMELHO;OVJ8873;575156856;COMPRADO NA NA KURUMA VITORIA DIA 27/12/2022;27/12/2022;150299;RENAVE;R$ 33.500,00
FIAT SIENA ESSENCE 1.6 2014/2015 PRATA;OXI6G16;1006672084;COMPRADO NA KURUMA VILA VELHA DIA 28/12/2022;28/12/2022;90660;FINALIZADO;R$ 29.500,00
GM PRISMA 1.4 AT LTZ 2016/2016 PRATA;PPP5104;1090121439;COMPRADO NA LIDER CVC SERRA 27/12/2022;27/12/2022;168811;RENAVE;R$ 42.000,00
HONDA BIZ 125 2019/2019 CINZA;QRF7D93;1183986510;COMPRADO PARTICULAR NA TROCA DO SANDERO OCW4627;;;FINALIZADO;R$ 13.500,00
VW SAVEIRO 1.6 2005/2005 BRANCA;AMQ3F94;851786677;COMPRADO PARTICULAR;;116408;RENAVE;R$ 16.300,00
YAMAHA FAZER YS250 2013/2014 BRANCA;OVI1423;585901813;COMPRADO PARTICULAR NA TROCA DSO CIVIC MQX4A06;;59440;RENAVE;R$ 11.400,00
VW GOL 1.0 2006/2006 BRANCA;MQR4905;883415372;COMPRADO PARTICULAR;;;RENAVE;R$ 10.000,00
HONDA CIVIC LXS 2012/2013 BRANCA;ODN5548;489391087;COMPRADO NA KURUMA DE VITORIA 30/12/2022;30/12/2022;148000;RENAVE;R$ 44.000,00
RENAULT SANDERO 1.6 EXP 2008/2009 PRETO;EGF2B67;981952267;COMPRADO PARTICULAR 27 - 996427629;;161833;RENAVE;R$ 18.000,00
VW FOX 1.6 2004/2005 PRETO;MPK5H03;842209930;COMPRADO PARTICULAR;;144342;RENAVE;R$ 18.000,00
VW GOL 1.0 2007/2008 BRANCO;MRG7389;924149418;COMPRADO NA VITORAWAGEM GUARAPARI DIA 04/01/2023;01/04/2023;;RENAVE;R$ 15.000,00
VW GOL 1.0 GIV 2008/2009 2P BRANCO;MRZ5812;961335548;COMPRADO PARTICULAR 27 - 992841171;;105030;FINALIZADO;R$ 10.000,00
PEUGEOT 207 XR 2013/2013 HATCH BRANCO;OVJ1H55;566058634;COMPRADO NA VIA CAPITAL (TROLLER VITORIA) 27/12/2022;27/12/2022;;FINALIZADO;R$ 20.200,00
HONDA CIVIC LXS FLEX 2008/2008 PRATA;MRW5723;954067290;COMPRADO PARTICULAR;;202157;RENAVE;R$ 32.000,00
VW FOX 1.0 2009/2010 PRETO;MSU1C69;150693583;COMPRADO PARTICULAR NA TROCA DO SIENA EL MSX0B31;;;FINALIZADO;R$ 24.000,00
FIAT SIENA FIRE 2004/2004 PRATA;HAV4I00;829464260;COMPRADO PARTICULAR;;;FINALIZADO;R$ 12.000,00
PEUGEOT 307 SD 2.0 FELINE 2006/2007 PRETO;MQW6E04;894903233;COMPRADO PARTICULAR;;;ROBINHO;R$ 21.900,00
FORD KA SEDAN 1.5 2015/2016 BRANCO;PPJ8D21;1064087865;COMPRADO NA PRIME VILA VELHA DIA 11/01/2023;01/11/2023;153530;RENAVE;R$ 33.000,00
HYUNDAI HB20 1.0 2013/2013 PRATA;OVF4029;536950091;COMPRAD NA PRIME VILA VELHA DIA 11/01/2023;01/11/2023;140699;RENAVE;R$ 32.500,00
VW GOL 1.0 2011/2012 PRATA;OCZ4H12;345284267;COMPRADO PARTICULAR WILLIAN 28 - 999526299;;;RENAVE;R$ 25.000,00
SIAT STRADA WORKING 2000/2001 CINZA;JMX9789;749457600;COMPRADO PARTICULAR NA TROCA DA STRADA DUR4F86;;;FINALIZADO;R$ 10.000,00
FIAT UNO VIVACE 1.0 2011/2012 PRETO BASICO;EVI7B03;456782915;COMPRADO NA TAI VITORIA DIA 18/01/2023;18/01/2023;144045;RENAVE;R$ 18.000,00
VW FOX 1.0 GII 2010/2011 PRATA;MTE8E43;208248480;COMPRADO NA VITORIAWAGEM GUARAPARI DIA 25/01/2023;25/01/2023;232461;RENAVE;R$ 25.000,00
FIA UNO MILLE FIRE ECONOMY 2010/2010 PRETO;MTE7414;204289653;COMPRADO PARTICULAR;;;FINALIZADO;R$ 14.000,00
VW POLO SEDAN 2.0 COMFORT 2007/2008 PRATA;MRS9E24;946869049;COMPRADO PARTICULAR NA TROCA DO PRISMA 1.4 LTZ PPP5B04;;;FINALIZADO;R$ 23.000,00
VW FOX EXTREME 1.6 2008/2009 PRETO;MSF9E76;973845600;COMPRADO PARTICULAR;;108003;FINALIZADO;R$ 20.000,00
PEUGEOT 307 PRESENCE 2.0 AUT 2009/2010 PRATA;MSY4A23;180337262;COMPRADO NA KURUMA ITORIA 30/01/2023;30/01/2023;;RENAVE;R$ 15.000,00
VW GOL MI 1998/1999 BRANCO 2P BASICO;JMB4966;709390610;COMPRADO PARTICULAR NA TROCA DO SAVEIRO AMQ3F94;;;FINALIZADO;R$ 5.000,00
HONDA CB 300 R 2009/2010 VERMELHA;MST2A77;156625148;COMPRADO NA TROCA DO GOL OCZ4H12;;;FINALIZADO;R$ 8.500,00
TOYOTA ETIOS HB XS 1.3 2013/2013 PRETO;LLW9G57;556779886;COMPRADO NA TROC DO CIVIC ODN5F48;;125101;FINALIZADO;R$ 35.000,00
CITROEN C3 GLX 1.4 2009/2010 PRETO;MSV0539;167047558;COMPRADO NA KOBE VITORIA EM 24/01/2023;24/01/2023;91959;RENAVE;R$ 18.300,00
VW GOL 1000 ANO 1994/1994 PRATA;GTA2G43;622406035;COMPRADO PARTICULAR NA TROCA DO UNO EVI7B03;;;FINALIZADO;R$ 6.000,00
FORD KA FLEX 2011/2011 PRATA;KNY9653;308798198;COMPRADO NA PODIUM CAMPOS DIA 03/02/2023;02/03/2023;108897;FINALIZADO;R$ 18.200,00
FORD FIESTA 1.6 FLEX 2014/2014 BRANCO;KWI8630;1003841608;COMPRADO NA PODIUM CAMPOS 03/02/2022;02/03/2022;100399;FINALIZADO;R$ 27.700,00
FIAT SIENA FIRE 2004/2004 PRATA;MPY1I28;824819390;COMPRADO PARTICULAR NA TROCA DO FOX MSF9E76;;;FINALIZADO;R$ 12.000,00
FIAT PALIO FIRE FLEX 2008/2008 PRETO;MSC2513;966047087;COMPRADO PARTICULAR NA TROCA DO SAVEIRO CROSS NMN4F86;;;FINALIZADO;R$ 15.000,00
FIAT PALIO ESSENCE 1.6 2013/2013 PRETO;OVE0238;532682947;COMPRADO PARTICULAR ADONIAS 27 - 998283642;;123693;FINALIZADO;R$ 27.000,00
FIAT SIENA EL 1.4 2012/2013 PRETO;ODO6109;498471314;COMPRADO PARTICULAR NA TROCA DO ONIX QPD4I47;;111074;FINALIZADO;R$ 29.000,00
VW GOL 1.0 2019/2020 BRANCO;QRM6F35;1219963329;COMPRADO NA ORVEL SERRA 10/02/2023;02/10/2023;81827;RENAVE;R$ 38.100,00
GM VECTRA SEDAN ELEGANCE 2006/2006 PRETO;KZT3G87;882449907;DEVOLUÇÃO;;167653;TRANSFERÊNCIA DIRETA ENTRE CLIENTES;R$ 25.000,00
YAMAHA YBR150 FACTOR 2020/2021 BRANCA;RBD0D20;1241427736;COMPRADO NA TROCA DO KA KNY9653;;;TRANSFERÊNCIA DIRETA ENTRE CLIENTES;R$ 12.000,00
FORD FIESTA FLEX 1.0 2009/2010 VERMELHO;MSY8F06;180605330;COMPRADO NA PODIUM VITORIA 14/02/2023;14/02/2023;134209;RENAVE;R$ 19.200,00
FIAT PALIO ATRACTIVE 1.0 2012/2013 PRATA;ODN6B85;488985668;COMPRADO NA PODIUM VITORIA 14/02/2023;14/02/2023;120212;RENAVE;R$ 29.900,00
GM ASTRA SEDAN ADVANTAGE 2011/2011 PRATA;MTX3F04;303521716;COMPRADO PARTIVULAR NA TROCA DO CIVIC MRW5723;;112809;FINALIZADO;R$ 25.000,00
FIAT IDEA ESSENCE 1.6 DL 2012/2012 PRATA;LLR7882;473404966;COMPRADO NA PODIUM CAMPOS;;80901;FINALIZADO;R$ 27.200,00
FORD KA FLEX 2010/2011 PRETO;KYQ3B54;255640692;COMPRADO PARTICULAR TARCISIO 27 996206875;;82602;FINALIZADO;R$ 14.000,00
VW FOX 1.0 2007/2008 PRETO;HCQ9878;947907750;COMPRADO PARTIGULAR;;;FINALIZADO;R$ 14.000,00
VW VOYAGE 1.0 2009/2010 PRATA;MSR4C36;139694706;COMPRADO NA KURUMA VITORIA 17/02/2023;17/02/2023;194188;RENAVE;R$ 20.500,00
PEUGEOT 207 PASSION XR S 2011/2011 PERTO;EYB3A49;329192035;COMPRADO PARTICULAR NA TROCA DO PALIO ODN6B85;;;FINALIZADO;R$ 15.000,00
HONDA XRE 300 2010/2011 VERMELHA;MTU9B17;254116620;COMPRADO NA TROCA DO SIENA MPY1I28;;74488;FINALIZADO;R$ 10.000,00
FIAT PALIO ATRACTIVE 1.0 2012/2013 PRATA;ODP0C76;496706080;COMPRADO NA PODIUM VITORIA 28/02/2023;28/02/2023;125461;RENAVE;R$ 28.700,00
VW FOX 1.0 GII 2010/2011 PRATA;MTE8E43;208248480;COMPRADO NA TROCA DO PEUGEOT MSY4A23;;233180;FINALIZADO;R$ 28.000,00
FIAT SIENA ESSENCE 1.6 2013/2014 CINZA;OYD5347;597358354;COMPRADO NA KURUMA VILA VELHA 24/02/2023;24/02/2023;110862;RENAVE;R$ 30.000,00
VW GOLF SPORTLINE 2010/2010 PRATA;MTB1D50;192323105;COMPRADO NA VITORIAWAGEM VITORIA 28/02/2023;28/02/2023;114644;RENAVE;R$ 35.000,00
VW GOL 1.6 2003/2004 BRANCO;CQA8G10;814426905;COMPRADO PARTIULAR NA TROCA DO ASTRA MTX3E04;;;FINALIZADO;R$ 13.000,00
GM MERIVA JOY 1.4 2010/2011 BRANCA;MTC4J67;234506016;COMPRADO PARTICULAR NA TROCA DO FOX OYE1I91;;;FINALIZADO;R$ 20.000,00
GM PRISM 1.4 MT LT 2013/2013 CINZA;KPK4538;5404361000;COMPRADO NAPODIUM CAMPOS 03/03/2023;03/03/2023;151866;FINALIZADO;R$ 35.950,00
HONDA FIT LXL 2005/2005 CINZA;MQJ3336;856433799;COMPRADO NA VIA BRASIL SERRA (PRIME) 07/03/2023;03/07/2023;125469;RENAVE;R$ 21.000,00
HYUNDAI HB20 S AT 1.6 2013/2014 PRETO;ODS3791;533934508;COMPRADO NA KURUMA VITORIA;;;RENAVE;R$ 46.000,00
HONDA CG 160 TITAN 2022/2022 VERMELHA;RQO6E71;1289303751;COMPRADO PARTICULAR NA TROCA DO FOX MPK5H03;;;FINALIZADO;R$ 14.000,00
FIAT SIENA ESSENCE 1.62014/2014 BRANCO;OYE5796;995401683;COMPRADO NA VITORIAWAGEM GUARAPARI;;116444;RENAVE;R$ 31.800,00
FORD FIESTA HÁ 1.5L 2014/2014 BRANCO;OYH1256;1004708771;COMPRADO PARTICULAR ROSE 27 - 999409898;;90911;FINALIZADO;R$ 32.800,00
TOYOTA ETIOS PLATINUM 1.5 2015/2015 PRETO;PPB4697;1021111438;COMPRADO NA KURUMA VILA VELHA 27/02/2023;27/02/2023;87346;RENAVE;R$ 42.500,00
HONDA BIZ 125 2018/2018 BRANCA;PPY9816;1157510024;COMPRADO PARTICULAR NA TROCA DO FIT MQJ3336;;;FINALIZADO;R$ 12.500,00
GM COBALT LT 2013/2013CINZA;KPI7J93;532768728;COMPRADO PARTICULAR NA TROCA DO SIENA ESSENCE OYD5D47;;;FINALIZADO;R$ 32.000,00
FIAT PALIO FIRE ECONOMY 2010/2011;MTQ9H25;252627075;COMPRADO PARTICULAR NA TROCA DO GOLFROBINHO DESPACHANTE;;237724;EM NOME DE ROBINHO DESPACHANTE;R$ 20.000,00
HONDA CIVIC LXS FLEX 2008/2008 CINZA;MSH6D26;980614899;COMPRADO PARTICULAR NATHAN 27 - 999846581;;;FINALIZADO;R$ 32.000,00
VW VOYAGE 1.0 2011/2011 PRATA;MTS3C21;280501846;COMPRADO PARTICULAR (VITORIAWAGEM);;118622;FINALIZADO;R$ 19.500,00
VW GOL 1.0 2013/2014 BRANCA;OVL5D67;594527708;COMPRADO NA PREMIUM VEICULOS DE VILA VELHA NO DIA 21/03/2023;21/03/2023;107181;RENAVE;R$ 31.200,00
RENAULT DUSTER 1.6 EXPRESSION 2011/2012 PRETO;KVO7627;395863341;COMPRADO NA PODIUM CAMPOS 17/03/2023;17/03/2023;179725;FINALIZADO;R$ 34.000,00
GM MONTANA SPORT 2011/2012 BRANCA;LQN3D81;331402670;COMPRADO PARTIVULAR NA TROCA DO NEW OYH1256;;223784;FINALIZADO;R$ 32.000,00
VW GOL 1.0 ECOMOTION 2P 2013/2014 PRETO;OVL5B84;599955058;COMPARDO PARTICULAR NA TROCA DO VOYAGE MTS3C21;;;ROBINHO;R$ 20.000,00
PEUGEOT 207PASSION XR 2012/2013 BRANCO;JKI1F55;496653903;COMPRADO NA KOBE SERRA 31/03/2023;31/03/2023;99371;RENAVE;R$ 18.600,00
GM AGILE LTZ 2010/2011 PRATA;MTT1H30;252696549;COMPRADO NA TROC ADO GM OBALT KPT7J93;;;FINALIZADO;R$ 24.000,00
FIAT PALIO ATRACTIVE 1.4 2012/2013 VERMELHO;ODT2B31;527565768;COMPARDO NA KURUMA VILA VELHA 30/03/2023;30/03/2023;60302;RENAVE;R$ 33.500,00
FIAT PALIO ESSENCE 1.6 2012/2013 CINZA;ODO0E58;491063199;COMPRADO NA POIUM VITORIA 23/03/2023;23/03/2023;145156;RENAVE;R$ 29.400,00
GM AGILE LTZ 2010/2011 PRETO;MTD5370;213414635;COMPRADO NA PRIME GUARAPARI 30/03/2023;30/03/2023;;RENAVE;R$ 26.000,00
FORD ECOSPORT 2011/2012 PRETA;OHU4B60;413312119;COMPRADO NA PASSION SERRA 05/04/2023;04/05/2023;120258;RENAVE;R$ 25.500,00
FORD KA SE 1.0 2019/2020 BRANCO;QRL5F80;1213793480;COMPRADO NA ORVEL SERRA 04/04/2023;04/04/2023;122103;RENAVE;R$ 42.300,00
FORD FIESTA 1.0 2004/2005 BRANCO;MQD2D43;837249236;COMPRADO NA TROCA DO CIVIC MSH6D26;;180429;FINALIZADO;R$ 12.000,00
FIAT UNO VIVACE 1.0 2011/2012 PRATA;OCX4274;421719400;COMPRADO PARTICULAR;;;FINALIZADO;R$ 22.000,00
FIAT SIENA EL 1.0 2013/2014 VERMELHO;OVJ7I26;587327480;COMPRADO NA TROCA DO PALIO ODT2B31;;112050;FINALIZADO;R$ 25.000,00
VW GOL 1.6 POWER 2006/2006 PRETO;MQJ0354;886346681;COMPRADO NA TROCA DO IDEA LLR7I82;;;FINALIZADO;R$ 14.000,00
HYUNDAI TUCSON GLSB AT 2012/2013 PRATA;ODP5B10;505663848;COMPRADO NA PIDIUM SERRA;;155209;RENAVE;R$ 38.000,00
TOYOTA ETIOS HB XLS 2014/2015 VERMELHO;PPD7014;1033267675;COMPRADO NA KURUMA SERRA DIA 20/04/2023;20/04/2023;;FINALIZADO;R$ 35.000,00
FIAT SIENA ESSENCE 1.6 2014/2015 BRANCO;LRI2D73;1010484211;COMPRADO NA TROCA DO AGILE MTD5370;;97472;FINALIZADO;R$ 36.000,00
FIAT PALIO FIRE 2014/2015 BRANCO;PPB4I12;1020884891;COMPRADO NA PODIUM VITORIA 20/04/2023;20/04/2023;164545;RENAVE;R$ 27.400,00
FIAT IDEA TRACTIVE 1.4 2012/2013 PRATA;OLW1H42;478191790;COMPRADO NA PODIUM VITORIA 20/04/2023;20/04/2023;82666;RENAVE;R$ 28.200,00
GM COBALT 1.4 LTZ 2012/2012 BRANCO;MTA2E17;453866697;COMPRADO NA ORVEL SERRA 25/05/2023;25/05/2023;157820;RENAVE;R$ 25.600,00
VW SAVEIRO 1.6 CE 2009/2010 PRETA;MSZ4641;180768824;COMPRADO PARTICULAR;;;FINALIZADO;R$ 25.000,00
FIAT SIENA FIRE FLEX 2007/2008 CINZA;MRQ1374;937942863;COMPRADO NA TROCA DO INIX QRE4F11;;;FINALIZADO;R$ 20.000,00
VW CROSSFOX 2008/2009 PRETO;MSG9J09;977764966;COMPRADO NA TROCA DO SIENA MRQ1D74;;;FINALIZADO;R$ 26.400,00
FIAT UNO MILLE WAY ECONOMY 2008/2009 PRETO;MSJ2975;987108301;COMPRADO NA TROCA DO IDEA OLW1H42;;;FINALIZADO;R$ 15.000,00
GM CORS AHATCH MAXX 1.8 2005/2005 PRATA;MQI7345;854545271;COMPRADO NA TROCA DO PALIO PPB4I12;;;FINALIZADO;R$ 13.000,00
